test_case_id,tier,transaction_text,actual_cost_usd,total_latency_s,exp_relationship,exp_account,exp_debit,exp_credit,act_account,act_debit,act_credit,act_relationship,act_category,act_count
,,,,,,,,,,,,,,
int_hard_01a_note_derecognition,intermediate,"Ford received a 90-day, non-interest-bearing promissory note with a face value of $100,000 as settlement of a trade receivable. Fifty days after the note's issue date, Ford discounted the note at the bank at an annual discount rate of 15%, receiving the net proceeds in cash after deducting the discount charges. Management has determined that this qualifies as derecognition (transfer of risks and rewards) under IFRS 9.",0.0350,25.4,asset_increase,Cash,"98,356.00",,Cash and cash equivalents,"98,356.16",,asset_increase,Cash and cash equivalents,1
,,,,,expense_increase,Loss on derecognition of receivables,"1,644.00",,Loss on disposal of financial asset,"1,643.84",,revenue_decrease,Gains (losses) on disposals,1
,,,,,asset_decrease,Trade receivables,,"100,000.00",Trade receivables,,"100,000.00",asset_decrease,Trade receivables,1
,,,,,,TOTAL,"100,000.00","100,000.00",TOTAL,"100,000.00","100,000.00",,,
,,,,,,,,,,,,,,
int_hard_01b_note_collateralized,intermediate,"Ford received a 90-day, non-interest-bearing promissory note with a face value of $100,000 as settlement of a trade receivable. Fifty days after the note's issue date, Ford discounted the note at the bank at an annual discount rate of 15%, receiving the net proceeds in cash after deducting the discount charges. Management has determined that this is a collateralized borrowing (risks and rewards not transferred).",0.0338,34.6,asset_increase,Cash,"98,356.00",,Cash and cash equivalents,"98,356.16",,asset_increase,Cash and cash equivalents,1
,,,,,expense_increase,Interest expense,"1,644.00",,Interest expense,"1,643.84",,expense_increase,Interest expense,1
,,,,,liability_increase,Short-term borrowings,,"100,000.00",Short-term borrowings,,"100,000.00",liability_increase,Short-term borrowings,1
,,,,,,TOTAL,"100,000.00","100,000.00",TOTAL,"100,000.00","100,000.00",,,
,,,,,,,,,,,,,,
int_hard_02a_investment_fvtpl,intermediate,"BlackRock acquired 10% of Ford's outstanding common shares for $3,000,000 and paid a transaction fee of $100,000 by cheque. Management's intent is short-term trading, classified as FVTPL under IFRS 9.",0.0326,17.5,asset_increase,Financial assets at FVTPL,"3,000,000.00",,Investments — FVTPL,"3,000,000.00",,asset_increase,Investments — FVTPL,1
,,,,,expense_increase,Investment transaction costs,"100,000.00",,Professional fees expense,"100,000.00",,expense_increase,Professional fees expense,1
,,,,,asset_decrease,Cash,,"3,100,000.00",Cash and cash equivalents,,"3,100,000.00",asset_decrease,Cash and cash equivalents,1
,,,,,,TOTAL,"3,100,000.00","3,100,000.00",TOTAL,"3,100,000.00","3,100,000.00",,,
,,,,,,,,,,,,,,
int_hard_02b_investment_fvoci,intermediate,"BlackRock acquired 10% of Ford's outstanding common shares for $3,000,000 and paid a transaction fee of $100,000 by cheque. Management elected the FVOCI option for this long-term strategic equity investment under IFRS 9.",0.0331,26.4,asset_increase,Financial assets at FVOCI,"3,100,000.00",,Investments — FVOCI,"3,100,000.00",,asset_increase,Investments — FVOCI,1
,,,,,asset_decrease,Cash,,"3,100,000.00",Cash and cash equivalents,,"3,100,000.00",asset_decrease,Cash and cash equivalents,1
,,,,,,TOTAL,"3,100,000.00","3,100,000.00",TOTAL,"3,100,000.00","3,100,000.00",,,
,,,,,,,,,,,,,,
int_hard_02c_investment_equity_method,intermediate,"BlackRock acquired 10% of Ford's outstanding common shares for $3,000,000 and paid a transaction fee of $100,000 by cheque. BlackRock has significant influence over Ford and will account for this using the equity method under IAS 28.",0.0591,20.3,asset_increase,Investment in associate,"3,100,000.00",,Investments — equity method,"3,100,000.00",,asset_increase,Investments — equity method,1
,,,,,asset_decrease,Cash,,"3,100,000.00",Cash and cash equivalents,,"3,100,000.00",asset_decrease,Cash and cash equivalents,1
,,,,,,TOTAL,"3,100,000.00","3,100,000.00",TOTAL,"3,100,000.00","3,100,000.00",,,
,,,,,,,,,,,,,,
int_hard_16a_rent_prepaid,intermediate,"Atlas Van Lines leased office space and paid $24,000 by cheque, representing 12 months of rent. The entity's accounting policy is to recognize the payment as a prepaid asset.",0.0285,34.5,asset_increase,Prepaid rent,"24,000.00",,Prepaid Rent,"24,000.00",,asset_increase,Prepaid expenses,1
,,,,,asset_decrease,Cash — chequing,,"24,000.00",Cash,,"24,000.00",asset_decrease,Cash and cash equivalents,1
,,,,,,TOTAL,"24,000.00","24,000.00",TOTAL,"24,000.00","24,000.00",,,
,,,,,,,,,,,,,,
int_hard_16b_rent_expense,intermediate,"Atlas Van Lines leased office space and paid $24,000 by cheque, representing 12 months of rent. The entity elected the short-term lease exemption under IFRS 16 and expenses the payment immediately.",0.0290,22.4,expense_increase,Rent expense,"24,000.00",,Rent Expense,"24,000.00",,expense_increase,Rent expense,1
,,,,,asset_decrease,Cash — chequing,,"24,000.00",Cash,,"24,000.00",asset_decrease,Cash and cash equivalents,1
,,,,,,TOTAL,"24,000.00","24,000.00",TOTAL,"24,000.00","24,000.00",,,
,,,,,,,,,,,,,,
int_hard_27a_meal_overtime,intermediate,Mondelez paid $125 for a meal using the corporate credit card. The meal was provided to employees working overtime as an employee benefit.,0.0278,26.3,expense_increase,Employee benefits expense,125.00,,Employee benefits expense,125.00,,expense_increase,Employee benefits expense,1
,,,,,liability_increase,Credit card payable,,125.00,Credit card payable,,125.00,liability_increase,Credit card payable,1
,,,,,,TOTAL,125.00,125.00,TOTAL,125.00,125.00,,,
,,,,,,,,,,,,,,
int_hard_27b_meal_meeting,intermediate,Mondelez paid $125 for a meal using the corporate credit card. The meal was for a working meeting among employees.,0.0277,19.2,expense_increase,Meeting expense,125.00,,Meeting expense,125.00,,expense_increase,Meeting expense,1
,,,,,liability_increase,Credit card payable,,125.00,Credit card payable,,125.00,liability_increase,Credit card payable,1
,,,,,,TOTAL,125.00,125.00,TOTAL,125.00,125.00,,,
,,,,,,,,,,,,,,
int_hard_27c_meal_entertainment,intermediate,Mondelez paid $125 for a meal using the corporate credit card. The meal was for client entertainment.,0.0275,13.5,expense_increase,Entertainment expense,125.00,,Entertainment expense,125.00,,expense_increase,Entertainment expense,1
,,,,,liability_increase,Credit card payable,,125.00,Credit card payable,,125.00,liability_increase,Credit card payable,1
,,,,,,TOTAL,125.00,125.00,TOTAL,125.00,125.00,,,
,,,,,,,,,,,,,,
int_hard_27d_meal_factory,intermediate,Mondelez paid $125 for a meal using the corporate credit card. The meal was provided to factory production staff and is classified as manufacturing overhead.,0.0282,12.6,asset_increase,Work in process — Manufacturing overhead,125.00,,Inventories — work in progress,125.00,,asset_increase,Inventories — work in progress,1
,,,,,liability_increase,Credit card payable,,125.00,Credit card payable,,125.00,liability_increase,Credit card payable,1
,,,,,,TOTAL,125.00,125.00,TOTAL,125.00,125.00,,,
,,,,,,,,,,,,,,
int_hard_32a_grocery_entertainment,intermediate,"Target purchased tea, beverages, and refreshments from a grocery store for $1,200 plus 10% sales tax, totalling $1,320, paid by corporate credit card. The purchase was for client entertainment.",0.0313,34.3,expense_increase,Entertainment expense,"1,320.00",,Entertainment expense,"1,200.00",,expense_increase,Entertainment expense,1
,,,,,,,,,HST Receivable,120.00,,?,?,
,,,,,,,,,,,,asset_increase,Tax assets,1
,,,,,liability_increase,Credit card payable,,"1,320.00",Credit card payable,,"1,320.00",liability_increase,Credit card payable,1
,,,,,,TOTAL,"1,320.00","1,320.00",TOTAL,"1,320.00","1,320.00",,,
,,,,,,,,,,,,,,
int_hard_32b_grocery_breakroom,intermediate,"Target purchased tea, beverages, and refreshments from a grocery store for $1,200 plus 10% sales tax, totalling $1,320, paid by corporate credit card. The purchase was for the employee break room.",0.0329,24.4,expense_increase,Employee benefits expense,"1,320.00",,Employee benefits expense,"1,200.00",,expense_increase,Employee benefits expense,1
,,,,,,,,,HST Receivable,120.00,,?,?,
,,,,,,,,,,,,asset_increase,Tax assets,1
,,,,,liability_increase,Credit card payable,,"1,320.00",Credit card payable,,"1,320.00",liability_increase,Credit card payable,1
,,,,,,TOTAL,"1,320.00","1,320.00",TOTAL,"1,320.00","1,320.00",,,
,,,,,,,,,,,,,,
